"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
2541610,"Quillivant ER Chewable Tablets","KYE","ER Tab Chewable","30mg","2024-08-30","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2541629,"Quillivant ER Chewable Tablets","KYE","ER Tab Chewable","40mg","2024-08-30","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2541637,"Quillivant ER Oral Suspension","KYE","ER Pd for Sol","5mg/mL","2024-08-30","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2545861,"Teva-Lisdexamfetamine","TEV","Cap","10mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2545888,"Teva-Lisdexamfetamine","TEV","Cap","20mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2545896,"Teva-Lisdexamfetamine","TEV","Cap","30mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2545918,"Teva-Lisdexamfetamine","TEV","Cap","40mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2545926,"Teva-Lisdexamfetamine","TEV","Cap","50mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2545934,"Teva-Lisdexamfetamine","TEV","Cap","60mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2545942,"Teva-Lisdexamfetamine","TEV","Cap","70mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546248,"Sandoz Lisdexamfetamine Capsules","SDZ","Cap","10mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546256,"Sandoz Lisdexamfetamine Capsules","SDZ","Cap","20mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546264,"Sandoz Lisdexamfetamine Capsules","SDZ","Cap","30mg","2024-10-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546272,"Sandoz Lisdexamfetamine Capsules","SDZ","Cap","40mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546280,"Sandoz Lisdexamfetamine Capsules","SDZ","Cap","50mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546299,"Sandoz Lisdexamfetamine Capsules","SDZ","Cap","60mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546302,"Sandoz Lisdexamfetamine Capsules","SDZ","Cap","70mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546647,"Apo-Lisdexamfetamine Capsules","APX","Cap","10mg","2025-03-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546655,"Apo-Lisdexamfetamine Capsules","APX","Cap","20mg","2025-03-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546663,"Apo-Lisdexamfetamine Capsules","APX","Cap","30mg","2025-03-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
